age,sex,indic_il,unit,country,year,value,Code,pop,% of DE,% of AT,% of W_EUR3,% of S_EUR4,region
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2012,8.635,POL,38247820,44.95522698875469,41.91340646539171,48.019768218872606,61.10108996772683,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2013,9.158,POL,38259214,47.017147551083276,43.80979716800612,50.41920829871569,65.65336174039784,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2014,9.56,POL,38265064,49.75020815986678,44.13258240236359,52.87067461540284,68.78809233469687,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2015,9.95,POL,38266267,48.85833537932728,45.2663664073518,53.02572339346423,70.61292313862498,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2016,10.865,POL,38263203,51.366301059001515,47.093754063542974,55.54918114777048,73.05997365765081,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2017,11.079,POL,38254908,51.9384932727017,47.425195839219214,56.423582000546936,73.50485213729198,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2018,11.513,POL,38241017,52.37943585077343,49.616445440441304,57.81835683561621,74.93405667624775,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2019,12.335,POL,38225836,54.355968800951835,52.07497783594377,60.497145009094865,78.54886289346025,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2020,13.35,POL,38170958,55.0992612158983,57.21265106711237,63.88387985262009,81.9701800628518,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2021,13.87,POL,38040252,59.43606444977717,56.7280163599182,67.34436582588812,87.0967719014472,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2022,14.906,POL,38385689,64.45280408180913,59.34153429674748,70.98149263184906,88.23003997460872,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2023,16.551,POL,38762796,68.716266710952425,57.689090275357266,74.73668531499189,90.61162413645394,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2024,18.064,POL,36554707,71.70530327087964,60.70300423415552,77.44237927276501,92.16304256631274,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2007,2.783,ROU,20870655,16.063492063492063,15.626052779337451,17.579267990025137,21.22367697988637,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2008,3.062,ROU,20718693,17.004498250680292,16.17367420240862,17.964133706192964,21.22711206594141,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2009,3.444,ROU,20576869,19.182354906984514,17.68693508627773,20.153473539427626,23.51335396086738,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2010,3.537,ROU,20432524,20.1274682751949,18.123590899774545,20.871246460274097,24.487128127052042,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2011,3.643,ROU,20281955,19.804294645284045,17.835985312117504,20.756832798266462,25.258677798783822,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2012,3.71,ROU,20158399,19.314868804664723,18.00796039219493,20.63153909577503,26.25188694618026,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2013,3.886,ROU,20062861,19.950713625628914,18.58974358974359,21.394304809872153,27.858589618168377,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2014,4.014,ROU,19968125,20.888842631140715,18.53014495429785,22.199046852115796,28.88236429199511,CEE
