country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of EU8-2004,var_name
Latvia,2006,128.47118775019734,NA,26.4318140222767,49.56555863639461,49.54895507009064,GDP_per_cap
Latvia,2007,143.01335705224636,NA,29.4237371235063,53.5545673676101,53.702264309469975,GDP_per_cap
Latvia,2008,139.62674854859867,NA,28.7269722869522,51.71622514262416,52.176036413523704,GDP_per_cap
Latvia,2009,119.18216327763652,NA,24.5206791475489,46.61705466731413,46.63415117025307,GDP_per_cap
Latvia,2010,117.23336353451742,100,24.119730784893903,43.96161764031487,44.63906224964553,GDP_per_cap
Latvia,2011,123.01247596567087,104.92957999064139,25.308732207462597,43.64148874773655,45.31971693897313,GDP_per_cap
Latvia,2012,133.64628894127566,114.00021709854441,27.4965454583635,47.27893020326457,49.35278791153465,GDP_per_cap
Latvia,2013,137.9168915584482,117.64303897826908,28.375184288726302,48.7348088236413,50.90883292572468,GDP_per_cap
Latvia,2014,142.13849149794788,121.24406159864003,29.2437412502629,49.36540683949313,51.88358808601467,GDP_per_cap
Latvia,2015,148.72867460999666,126.86548447124095,30.5996133134147,51.25620195441304,53.77374159003956,GDP_per_cap
Latvia,2016,153.92404444502807,131.29713232164298,31.6685148442662,52.27700612890377,54.969093234899724,GDP_per_cap
Latvia,2017,160.57257604525154,136.96832642524464,33.036391594343705,53.2918110205062,56.21998642669624,GDP_per_cap
Latvia,2018,168.8028907804854,143.98878074566562,34.7297062763057,55.571532130170226,58.440616427565864,GDP_per_cap
Latvia,2019,171.12856606872748,145.9725805942107,35.208193459085905,55.91201060509243,58.509249849307764,GDP_per_cap
Latvia,2020,166.35414101161678,141.8999984271854,34.2258976044058,56.719236558125914,59.98873705014739,GDP_per_cap
Latvia,2021,179.40993970750924,153.03658813362028,36.912013060216104,59.0301635864594,61.660637780515565,GDP_per_cap
Latvia,2022,183.1478018904476,156.22498269148676,37.6810452439337,59.87584084243588,61.86202096249583,GDP_per_cap
Latvia,2023,188.56969050381363,160.84985094562472,38.7965510159878,61.88976212465432,63.78706902749758,GDP_per_cap
Latvia,2024,189.24769949400755,161.42819227248964,38.936045387045404,61.97066975215436,63.83562129472426,GDP_per_cap
Poland,2004,100,NA,20.8786545002534,41.09150894913289,40.88971877843253,GDP_per_cap
Poland,2005,103.30621477152093,NA,21.568947659435597,42.05352003672484,41.70476961290951,GDP_per_cap
Poland,2006,109.78292489341881,NA,22.921197588769598,42.982368222818195,42.96796990631934,GDP_per_cap
Poland,2007,117.26840762693038,NA,24.484065666375603,44.56380026299825,44.68670176963016,GDP_per_cap
Poland,2008,122.39249344512722,NA,25.5539058406534,46.00385778660352,46.41288014383868,GDP_per_cap
Poland,2009,125.50813735048378,NA,26.204410367111,49.81805044051791,49.8363208879292,GDP_per_cap
Poland,2010,129.855749945041,100,27.1121333797381,49.41569421660969,50.17718565983345,GDP_per_cap
Poland,2011,136.60679744478094,105.19888222323402,28.5216612623568,49.18175074296586,51.0730290416581,GDP_per_cap
Poland,2012,138.67232550918789,106.78951495630987,28.9529157305301,49.78308580899834,51.966786578084964,GDP_per_cap
Poland,2013,139.70547867785726,107.58513099110743,29.168624211075,50.09755390875681,52.33236907028105,GDP_per_cap
Poland,2014,145.2913484276184,111.88672699446136,30.3348786569618,51.20732034633611,53.819459535222585,GDP_per_cap
Poland,2015,151.83147092180033,116.9231789782587,31.7003682364154,53.10003298775828,55.70813566806716,GDP_per_cap
Poland,2016,156.5010102810927,120.51912244727617,32.6753052259954,53.93897187674521,56.716644537302926,GDP_per_cap
Poland,2017,164.54412213782717,126.71300439716177,34.354598761631905,55.418243232219886,58.46325772467919,GDP_per_cap
Poland,2018,174.82166500631254,134.62758875159747,36.500411428258396,58.404864421031874,61.420229896458984,GDP_per_cap
Poland,2019,182.87396361200143,140.82854528151384,38.1816230334689,60.63393495175313,63.45051825261461,GDP_per_cap
Poland,2020,181.2990493755452,139.61572702962835,37.852802131363894,62.72975111689655,66.34571925375425,GDP_per_cap
Poland,2021,196.65819357502116,151.44357770699648,41.0595847829682,65.6630133549406,68.58905745917475,GDP_per_cap
Poland,2022,207.89185231843987,160.0944528112357,43.4050215797441,68.97133949036758,71.2592322601771,GDP_per_cap
Poland,2023,209.1742396568924,161.08200040846978,43.6727668014946,69.66849057165301,71.80426397802084,GDP_per_cap
Poland,2024,216.07043403477977,166.3926581042638,45.1125993993196,71.80128262246758,73.96207761340139,GDP_per_cap
Romania,2004,100,NA,19.5315056332132,38.44017048644006,38.25140037887813,GDP_per_cap
Romania,2005,105.31650611223805,NA,20.5698993240151,40.10565035598577,39.77305364239735,GDP_per_cap
Romania,2006,114.44815897685483,NA,22.353448617673198,41.91771201367893,41.90367033776772,GDP_per_cap
Romania,2007,124.55352882850713,NA,24.3271794995057,44.278249492971554,44.4003634855304,GDP_per_cap
Romania,2008,138.43403427534292,NA,27.038251202772898,48.6760760130836,49.10885718209302,GDP_per_cap
Romania,2009,131.89124230337572,NA,25.7603454201987,48.97382423530214,48.9917850682193,GDP_per_cap
Romania,2010,127.49484173533801,100,24.9016621955938,45.38679812863399,46.08620464225658,GDP_per_cap
Romania,2011,133.8833962492361,105.01083371448068,26.1494430803567,45.09118104361099,46.82515697740552,GDP_per_cap
Romania,2012,137.04074249966925,107.4872839045106,26.7661203411201,46.023000865189914,48.04176809811271,GDP_per_cap
Romania,2013,137.9340045742142,108.1879099552486,26.9405878735292,46.27086775026157,48.334977246974795,GDP_per_cap
Romania,2014,144.15031145431547,113.0636420205548,28.154726201994,47.527076016769094,49.951482077405146,GDP_per_cap
Romania,2015,149.4018073567164,117.18262897792704,29.1804224199994,48.878971422128224,51.27974914680841,GDP_per_cap
Romania,2016,154.5587026906513,121.22741640912359,30.1876417226458,49.83244522556557,52.39864580180366,GDP_per_cap
Romania,2017,168.19490168536927,131.9229071514274,32.8509966974553,52.992745979430886,55.90448893790788,GDP_per_cap
Romania,2018,179.5416969793033,140.82271450009523,35.0671966594792,56.11155563405299,59.00852062675833,GDP_per_cap
Romania,2019,187.5711457670663,147.12057618490837,36.6354689017771,58.17858073686795,60.88110728576622,GDP_per_cap
Romania,2020,181.67691399744362,142.49746226955617,35.4842366916586,58.80455899978017,62.194264966394464,GDP_per_cap
Romania,2021,193.18807885127686,151.52619213592115,37.7325405035335,60.34236157271363,63.031309311998555,GDP_per_cap
Romania,2022,201.62417009330176,158.1430019826576,39.3802361396926,62.57588493560643,64.65162995906796,GDP_per_cap
Romania,2023,206.35284902777036,161.85191982600432,40.3038183321549,64.2942133764526,66.26523169457644,GDP_per_cap
Romania,2024,207.92433978572024,163.08451146387785,40.610754138069304,64.6361387772977,66.5813052116865,GDP_per_cap
Slovakia,2004,99.99999999999999,NA,21.8429135856629,42.98927783251118,42.77816819127493,GDP_per_cap
Slovakia,2005,106.47448748514554,NA,23.2571302921578,45.34501219905928,44.96896538517728,GDP_per_cap
Slovakia,2006,115.97273549669963,NA,25.3318243974735,47.50283224910777,47.486919658862185,GDP_per_cap
Slovakia,2007,128.4819016451939,NA,28.0641907495761,51.080037447552186,51.220909938768585,GDP_per_cap
Slovakia,2008,135.2568310314523,NA,29.544032720906202,53.18715221894148,53.66004156826799,GDP_per_cap
Slovakia,2009,127.64028203773474,NA,27.8803565059988,53.00424574554543,53.023684709453214,GDP_per_cap
Slovakia,2010,136.1808317298338,100,29.7458613949846,54.216035688387905,55.051499965814656,GDP_per_cap
Slovakia,2011,139.49039306534763,102.43026958601604,30.468766017565397,52.53926978297706,54.55966107179048,GDP_per_cap
Slovakia,2012,141.4383257940376,103.8606711366208,30.8942512802,53.12111487497476,55.45123598985057,GDP_per_cap
Slovakia,2013,142.28012127866836,104.47881649080746,31.0781239404759,53.37714861778997,55.75826409554823,GDP_per_cap
Slovakia,2014,145.99125138411347,107.20396514668258,31.8887428824598,53.83034792029103,56.576290500433224,GDP_per_cap
Slovakia,2015,153.40318766706042,112.6466814150421,33.5077257197683,56.127466021689585,58.884266466688594,GDP_per_cap
Slovakia,2016,156.18970993580993,114.69287413787522,34.1163833709765,56.3178409644772,59.218017250857415,GDP_per_cap
Slovakia,2017,160.4305996428631,117.80703466486229,35.0427172449514,56.528263982157306,59.634269748849654,GDP_per_cap
Slovakia,2018,166.7164070070341,122.42281449549314,36.415720715668506,58.269349521528476,61.277718542920134,GDP_per_cap
Slovakia,2019,170.28011142756125,125.039705856237,37.1941375926927,59.06576882300207,61.80950726339504,GDP_per_cap
Slovakia,2020,165.73528673780103,121.70236048095202,36.2014154630885,59.99306931618929,63.451285285759816,GDP_per_cap
Slovakia,2021,175.5539316054752,128.91236554771,38.3460935768177,61.32356349811003,64.0562350929139,GDP_per_cap
Slovakia,2022,176.8247212678529,129.8455289351233,38.62367106462639,61.373689780765226,63.40955601365977,GDP_per_cap
Slovakia,2023,180.82539656750103,132.783295762385,39.4975351131715,63.007999130051694,64.93958696590423,GDP_per_cap
Slovakia,2024,184.71242243218967,135.63760779390498,40.3465748138478,64.21567055835206,66.14818338004535,GDP_per_cap
Slovenia,2004,100,NA,34.306738849644304,67.51946905575808,67.18789775222612,GDP_per_cap
Slovenia,2005,103.67439881213737,NA,35.5673052544187,69.34647010999075,68.77137887339899,GDP_per_cap
Slovenia,2006,109.45046208462922,NA,37.5488841971027,70.41254980963947,70.38896287807732,GDP_per_cap
Slovenia,2007,116.61046221798105,NA,40.0052467444859,72.8141253044245,73.01493774975422,GDP_per_cap
Slovenia,2008,120.35236848584339,NA,41.2889727557999,74.33118219411102,74.99206405967415,GDP_per_cap
Slovenia,2009,110.21618527212632,NA,37.8115788513485,71.88481313116357,71.91117642090234,GDP_per_cap
Slovenia,2010,110.9570231026983,100,38.0657361511822,69.38018308742677,70.44932552462065,GDP_per_cap
Slovenia,2011,111.45251377811807,100.44656089498828,38.2357228432228,65.93233728760441,68.46775737351784,GDP_per_cap
Slovenia,2012,107.9760593088893,97.3134068394662,37.043064687237695,63.69369099528914,66.4875708794332,GDP_per_cap
Slovenia,2013,106.94133201230694,96.38085902261945,36.6880834957932,63.01233912985205,65.82327339436682,GDP_per_cap
Slovenia,2014,109.78791108186552,98.94633797109833,37.6646519433353,63.58047182605055,66.82377846622317,GDP_per_cap
Slovenia,2015,112.33097778125874,101.23827644266262,38.5370951946684,64.55196390238103,67.72254856306883,GDP_per_cap
Slovenia,2016,115.6548785392354,104.23394148938992,39.677417147328804,65.49775351291949,68.87066391389101,GDP_per_cap
Slovenia,2017,121.5600938673901,109.55601589534169,41.703303948468,67.27261924492385,70.96898507319668,GDP_per_cap
Slovenia,2018,126.42408580338697,113.93968787930876,43.3719809596182,69.40016751857596,72.98320586989887,GDP_per_cap
Slovenia,2019,129.94758248886026,117.11523872498354,44.580777765879404,70.79604700893485,74.08468337949263,GDP_per_cap
Slovenia,2020,123.80723476264484,111.58125128145588,42.4742247069866,70.38838328285223,74.44582248233863,GDP_per_cap
Slovenia,2021,133.83393111326478,120.61780982479347,45.914057239240606,73.42634782147982,76.69833795962843,GDP_per_cap
Slovenia,2022,137.18631782722264,123.6391478349661,47.0641517944283,74.78576148789567,77.26652819849075,GDP_per_cap
Slovenia,2023,139.53056342280027,125.75189881730624,47.8683860088974,76.36150497401016,78.70246098232182,GDP_per_cap
Slovenia,2024,141.35966085154087,127.40037259354268,48.495889687081,77.1861326506189,79.50897985765225,GDP_per_cap
