country,year,rel_val-2004,rel_val-2010,value-2004,% of S_EUR4-2004,% of EU8-2004,var_name
Slovakia,2016,154.12041301636086,121.67908286912534,12.364440459999999,68.8921741813914,41.64185910271906,min_wage
Slovakia,2017,163.39313285301253,128.9999563559252,13.10835225,69.8142708509706,43.52189744357108,min_wage
Slovakia,2018,175.8742820685365,138.85390600460957,14.109663000000001,73.6780550564257,47.36049914207856,min_wage
Slovakia,2019,185.58542657659623,146.52091866194533,14.88874778,66.16332616208396,49.382395590908224,min_wage
Slovakia,2020,203.06595781109897,160.32191339749406,16.29113818,68.65944676802071,54.1365470149973,min_wage
Slovakia,2021,211.4605855632813,166.9495273904881,16.96460429,72.96744156631311,56.42620404362586,min_wage
Slovakia,2022,194.4304219095161,153.5041008311829,15.59834501,68.89381131644716,52.37387535917482,min_wage
Slovakia,2023,190.6083619777255,150.48655929940838,15.29171702,64.66251940809536,48.09952918819345,min_wage
Slovakia,2024,198.74270091847526,156.9086735585492,15.944301240000001,65.58924246427412,49.82295672982639,min_wage
Slovenia,2004,100,NA,15.11810807,93.8655386568525,55.54744057003646,min_wage
Slovenia,2005,102.43169230103275,NA,15.48573394,92.33943054797277,55.78521414879832,min_wage
Slovenia,2006,103.3145337874278,NA,15.619202869999999,90.08239578569547,55.353438279522024,min_wage
Slovenia,2007,102.16652525887122,NA,15.445645699999998,86.86783943899984,54.2156910970247,min_wage
Slovenia,2008,104.48033442322125,NA,15.79544987,87.5508635496294,55.36382756835839,min_wage
Slovenia,2009,107.47701607083432,NA,16.24849144,86.09829509017445,55.71696474035864,min_wage
Slovenia,2010,126.72886905748913,100,19.15900738,101.77075389015774,66.12346363430937,min_wage
Slovenia,2011,130.50645423782848,102.98084028401269,19.73010679,106.84497073133542,68.42337478914416,min_wage
Slovenia,2012,130.1455547803873,102.69605950744199,19.67554562,112.27379541801693,67.78300541956708,min_wage
Slovenia,2013,131.34057011672098,103.63902960196053,19.856209330000002,114.40753222860413,68.23304356498747,min_wage
Slovenia,2014,131.9210352754146,104.09706664041174,19.94396468,114.50732109958379,68.25252804364321,min_wage
Slovenia,2015,132.96070471865596,104.91745543656657,20.10114303,113.7412250113616,67.72563851973696,min_wage
Slovenia,2016,133.03383278434256,104.97515978304301,20.11219861,112.06112353351557,67.73532077516447,min_wage
Slovenia,2017,133.51972420448507,105.35856999080086,20.1856562,107.50755261794052,67.01971706379683,min_wage
Slovenia,2018,137.4056873638951,108.4249298410156,20.77314031,108.47350326191605,69.7271291192449,min_wage
Slovenia,2019,142.23414835001904,112.23500170706653,21.50311226,95.55655391445462,71.32065179352703,min_wage
Slovenia,2020,150.97221930362878,119.13009279293884,22.82414327,96.19297513516291,75.8461619784376,min_wage
Slovenia,2021,161.3074070980629,127.2854467160814,24.386628130000002,104.89073795396986,81.1126997881426,min_wage
Slovenia,2022,155.47750923042582,122.68515484020864,23.50525787,103.81657795118961,78.92256807881972,min_wage
Slovenia,2023,162.06565230618833,127.88376753576887,24.50126046,103.60597360946647,77.06780678075222,min_wage
Slovenia,2024,165.61693767545611,130.68603776486464,25.03814762,102.99812518497474,78.23952437229953,min_wage
