megye,telepules,AL,B,C,EL,FL,IL,JL,OL,KL,L,M,NL,MKKP,TISZA,Mi_Hazank,DK,FIDESZ_KDNP,reszvetel_pct
Baranya,Pellérd,1838,0,0,1838,1486,0,1486,0,1486,0,1,1485,6,904,110,25,436,80.8487
Baranya,Pereked,144,0,0,144,122,0,122,0,120,0,5,115,1,41,4,0,47,84.7222
Baranya,Peterd,160,0,0,160,132,0,132,0,132,0,0,132,1,53,10,0,67,82.5
Baranya,Pettend,106,0,0,106,70,0,70,0,70,0,2,68,0,16,1,0,48,66.0377
Baranya,Piskó,166,0,0,166,131,0,131,0,131,0,4,127,0,16,0,0,111,78.9157
Baranya,Pogány,1012,0,0,1012,846,0,846,0,846,0,3,843,10,488,54,3,258,83.5968
Baranya,Páprád,114,0,0,114,97,0,97,0,97,0,0,97,0,33,8,0,56,85.0877
Baranya,Pécs,102640,4917,2212,109769,81073,6799,87872,3,87793,0,435,87358,826,54534,4337,1434,25265,80.0517
Baranya,Pécsbagota,78,0,0,78,56,0,56,0,56,0,0,56,0,26,3,0,27,71.7949
Baranya,Pécsdevecser,72,0,0,72,50,0,50,0,50,0,1,49,0,25,3,0,10,69.4444
Baranya,Pécsudvard,632,0,0,632,552,0,552,0,551,0,2,549,3,345,25,5,146,87.3418
Baranya,Pécsvárad,3097,0,0,3097,2461,0,2461,0,2461,0,17,2444,19,1173,150,35,982,79.464
Baranya,Pócsa,137,0,0,137,99,0,99,0,99,0,2,97,0,31,5,2,22,72.2628
Baranya,Regenye,122,0,0,122,78,0,78,0,78,0,5,73,0,30,9,1,28,63.9344
Baranya,Romonya,433,0,0,433,369,0,369,0,369,0,5,364,5,197,20,8,115,85.2194
Baranya,Rádfalva,153,0,0,153,107,0,107,0,107,0,1,106,0,43,3,1,54,69.9346
Baranya,Rózsafa,253,0,0,253,185,0,185,0,185,0,1,184,2,100,6,4,72,73.1225
Baranya,Sellye,2016,0,0,2016,1522,0,1522,0,1520,0,8,1512,8,788,65,31,595,75.496
Baranya,Siklós,7166,0,0,7166,5423,0,5423,2,5419,0,31,5388,27,3048,260,58,1950,75.6768
Baranya,Siklósbodony,110,0,0,110,82,0,82,0,82,0,2,80,0,32,0,0,48,74.5455
Baranya,Siklósnagyfalu,286,0,0,286,166,0,166,0,166,0,3,163,0,43,0,0,109,58.042
Baranya,Somberek,1081,0,0,1081,860,0,860,0,859,0,13,846,4,311,61,11,373,79.556
Baranya,Somogyapáti,337,0,0,337,224,0,224,0,224,0,5,219,1,98,15,3,97,66.4688
Baranya,Somogyhatvan,226,0,0,226,169,0,169,0,169,0,4,165,1,78,3,4,72,74.7788
Baranya,Somogyhárságy,277,0,0,277,219,0,219,0,219,0,3,216,1,82,10,0,103,79.0614
Baranya,Somogyviszló,159,0,0,159,120,0,120,0,120,0,0,120,1,43,8,2,65,75.4717
Baranya,Sumony,285,0,0,285,210,0,210,0,210,0,5,205,0,50,3,0,144,73.6842
Baranya,Szabadszentkirály,634,0,0,634,478,0,478,0,478,0,13,465,3,228,26,4,195,75.3943
Baranya,Szajk,633,0,0,633,512,0,512,0,512,0,4,508,0,201,31,4,204,80.8847
Baranya,Szalatnak,217,0,0,217,149,0,149,0,149,0,6,143,1,67,3,0,51,68.6636
Baranya,Szalánta,951,0,0,951,748,0,748,0,747,0,6,741,5,381,43,10,276,78.654
Baranya,Szaporca,171,0,0,171,123,0,123,0,123,0,1,122,1,53,6,3,57,71.9298
Baranya,Szava,247,0,0,247,183,0,183,0,183,0,1,182,2,66,10,2,86,74.0891
Baranya,Szebény,253,0,0,253,186,0,186,0,186,0,2,184,0,69,12,1,95,73.5178
Baranya,Szederkény,1409,0,0,1409,1107,0,1107,0,1117,0,51,1066,5,518,63,2,388,78.5664
Baranya,Szellő,108,0,0,108,66,0,66,0,67,0,5,62,0,30,5,0,27,61.1111
Baranya,Szemely,403,0,0,403,316,0,316,0,316,0,3,313,2,188,15,4,97,78.4119
Baranya,Szentdénes,249,0,0,249,174,0,174,0,177,0,11,166,0,72,3,0,90,69.8795
Baranya,Szentegát,243,0,0,243,177,0,177,0,177,0,3,174,0,81,1,2,88,72.8395
Baranya,Szentkatalin,75,0,0,75,55,0,55,0,56,0,4,52,0,17,8,1,26,73.3333
Baranya,Szentlászló,585,0,0,585,446,0,446,0,446,0,3,443,1,211,37,7,177,76.2393
Baranya,Szentlőrinc,4728,0,0,4728,3691,0,3691,0,3687,0,18,3669,32,1906,215,53,1402,78.0668
Baranya,Szigetvár,7621,1996,534,10151,5823,2416,8239,5,8234,0,60,8174,41,5135,375,90,2461,81.1644
Baranya,Szilvás,114,0,0,114,86,0,86,0,86,0,1,85,0,39,3,0,42,75.4386
Baranya,Szilágy,219,0,0,219,158,0,158,0,158,0,7,151,0,71,11,0,50,72.1461
Baranya,Szulimán,162,0,0,162,132,0,132,0,132,0,0,132,0,61,13,2,56,81.4815
Baranya,Szágy,91,0,0,91,70,0,70,0,70,0,0,70,0,28,0,0,42,76.9231
Baranya,Szárász,32,0,0,32,20,0,20,0,20,0,0,20,0,10,2,0,8,62.5
Baranya,Szászvár,1830,0,0,1830,1364,0,1364,0,1361,0,10,1351,5,794,83,23,387,74.5355
Baranya,Székelyszabar,438,0,0,438,321,0,321,0,321,0,5,316,1,118,20,2,106,73.2877
Baranya,Szörény,56,0,0,56,41,0,41,0,41,0,1,40,0,19,2,0,17,73.2143
Baranya,Szőke,88,0,0,88,72,0,72,0,72,0,0,72,0,27,4,0,40,81.8182
Baranya,Szőkéd,286,0,0,286,208,0,208,0,203,0,3,200,0,104,11,1,79,72.7273
Baranya,Szűr,200,0,0,200,150,0,150,0,150,0,4,146,0,55,8,0,26,75.0
Baranya,Sámod,151,0,0,151,114,0,114,0,115,0,5,110,0,30,0,0,76,75.4967
Baranya,Sárok,78,0,0,78,62,0,62,0,62,0,0,62,1,21,2,1,19,79.4872
Baranya,Sásd,2327,0,0,2327,1733,0,1733,0,1733,0,18,1715,9,867,94,31,683,74.4736
Baranya,Sátorhely,487,0,0,487,382,0,382,0,382,0,2,380,1,164,36,1,177,78.4394
