cntr_group,region,country,Code,year,year_end,varname,value,value_end,pop,min_yr,max_yr,trans_rec_end_yr,era,era_col,era_num,era_low,era_high,cntr_region,change_val,change_lab,change_sign,sel_var
Baltics,CEE,Estonia,EST,1995,2023,% of DE,88.58650712265599,97.26681879679568,1452730,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,Baltics: Estonia,8.680311674139688,+8.7,convergence,% of DE
CEE,CEE,Hungary,HUN,1950,1965,% of DE,93.00596307205977,97.9095250838583,9337826,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,CEE: Hungary,4.9035620117985275,+4.9,convergence,% of DE
CEE,CEE,Hungary,HUN,1965,1989,% of DE,97.9095250838583,91.95343660142842,10141073,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,CEE: Hungary,-5.956088482429877,-6,divergence,% of DE
CEE,CEE,Hungary,HUN,1989,1995,% of DE,91.95343660142842,91.40108293109867,10403359,1950,2023,1995,1989-1995,transition,3,2.5,3.5,CEE: Hungary,-0.5523536703297509,-0.6,divergence,% of DE
CEE,CEE,Hungary,HUN,1995,2023,% of DE,91.40108293109867,94.65000854042323,10322744,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,CEE: Hungary,3.2489256093245586,+3.2,convergence,% of DE
Baltics,CEE,Latvia,LVA,1950,1965,% of DE,96.64906482745408,100.84757402113411,1918675,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,Baltics: Latvia,4.1985091936800245,+4.2,convergence,% of DE
Baltics,CEE,Latvia,LVA,1965,1989,% of DE,100.84757402113411,93.29044483019068,2252726,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,Baltics: Latvia,-7.557129190943428,-7.6,divergence,% of DE
Baltics,CEE,Latvia,LVA,1989,1995,% of DE,93.29044483019068,86.21045962521961,2664789,1950,2023,1995,1989-1995,transition,3,2.5,3.5,Baltics: Latvia,-7.0799852049710665,-7.1,divergence,% of DE
Baltics,CEE,Latvia,LVA,1995,2023,% of DE,86.21045962521961,93.62491198448716,2485908,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,Baltics: Latvia,7.414452359267543,+7.4,convergence,% of DE
Baltics,CEE,Lithuania,LTU,1950,1965,% of DE,98.88791100893265,101.51390936083631,2432951,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,Baltics: Lithuania,2.625998351903661,+2.6,convergence,% of DE
