year,ksh_kod,telepules,jogallas,megye,terulet_ha,lakonepesseg,lakasok
2012,26958,Balkány,város,Szabolcs-Szatmár-Bereg,8999.0,6215,2497
2012,13408,Ballószög,község,Bács-Kiskun,3500.0,3418,1096
2012,02918,Balmazújváros,város,Hajdú-Bihar,20545.0,17354,6723
2012,05102,Balogunyom,község,Vas,1212.0,1190,431
2012,25937,Balotaszállás,község,Bács-Kiskun,10494.0,1497,822
2012,15963,Balsa,község,Szabolcs-Szatmár-Bereg,2251.0,841,431
2012,24457,Bálványos,község,Somogy,2369.0,529,268
2012,31422,Bana,község,Komárom-Esztergom,2513.0,1589,564
2012,14173,Bánd,község,Veszprém,984.0,673,238
2012,07603,Bánfa,község,Baranya,1206.0,187,80
2012,25159,Bánhorváti,község,Borsod-Abaúj-Zemplén,2848.0,1335,594
2012,24341,Bánk,község,Nógrád,990.0,662,271
2012,08439,Bánokszentgyörgy,község,Zala,3254.0,642,298
2012,21953,Bánréve,község,Borsod-Abaúj-Zemplén,662.0,1271,556
2012,24378,Bár,község,Baranya,900.0,534,218
2012,26480,Barabás,község,Szabolcs-Szatmár-Bereg,3819.0,746,382
2012,07047,Baracs,község,Fejér,5518.0,3484,1309
2012,08581,Baracska,község,Fejér,3968.0,2766,983
2012,26693,Báránd,község,Hajdú-Bihar,4257.0,2530,1186
2012,20464,Baranyahídvég,község,Baranya,849.0,202,87
2012,24749,Baranyajenő,község,Baranya,1555.0,489,169
2012,05485,Baranyaszentgyörgy,község,Baranya,727.0,121,76
2012,06196,Barbacs,község,Győr-Moson-Sopron,1365.0,716,312
2012,32799,Barcs,város,Somogy,12290.0,11378,4530
2012,03735,Bárdudvarnok,község,Somogy,4856.0,1202,550
2012,27447,Barlahida,község,Zala,610.0,124,86
2012,20048,Bárna,község,Nógrád,1539.0,1053,455
2012,15778,Barnag,község,Veszprém,1201.0,116,83
2012,08624,Bársonyos,község,Komárom-Esztergom,1687.0,738,304
2012,15495,Basal,község,Baranya,404.0,202,71
2012,08846,Baskó,község,Borsod-Abaúj-Zemplén,2963.0,183,118
2012,11712,Báta,község,Tolna,6616.0,1692,823
2012,28909,Bátaapáti,község,Tolna,2044.0,396,142
2012,08864,Bátaszék,város,Tolna,6355.0,6388,2572
2012,32337,Baté,község,Somogy,1028.0,832,301
2012,03656,Bátmonostor,község,Bács-Kiskun,3795.0,1504,704
2012,33534,Bátonyterenye,város,Nógrád,7892.0,12604,5843
2012,24022,Bátor,község,Heves,2732.0,407,196
