cntr_group,country,Code,cntr_region,era,varname,value,value_end,era_col,scaling,change_val,change_val_lab,change_lab,change_sign,era_num,pop,type_scale,sel_var
USSR,Ukraine,UKR,USSR: Ukraine,1965-1989,% of DE,100.73345028891994,93.8673857447626,socialism,1,-6.866064544157339,-7,-7,divergence,2,45386845,linear,% of DE
USSR,Ukraine,UKR,USSR: Ukraine,1989-1995,% of DE,93.8673857447626,87.67143687582869,transition,1,-6.195948868933911,-6,-6,divergence,3,51917779,linear,% of DE
USSR,Ukraine,UKR,USSR: Ukraine,1995-2023,% of DE,87.67143687582869,90.22434893097248,capitalism,1,2.5529120551437927,3,+3,convergence,4,51665488,linear,% of DE
USSR,Belarus,BLR,USSR: Belarus,1950-1965,% of W_EUR3,88.34389823718507,101.38628844368358,socialism,1,13.04239020649851,13,+13,convergence,1,7127548,linear,% of W_EUR3
USSR,Belarus,BLR,USSR: Belarus,1965-1989,% of W_EUR3,101.38628844368358,93.81757719796317,socialism,1,-7.568711245720408,-8,-8,divergence,2,8679894,linear,% of W_EUR3
USSR,Belarus,BLR,USSR: Belarus,1989-1995,% of W_EUR3,93.81757719796317,88.83003200268921,transition,1,-4.987545195273967,-5,-5,divergence,3,10158729,linear,% of W_EUR3
USSR,Belarus,BLR,USSR: Belarus,1995-2023,% of W_EUR3,88.83003200268921,90.05552099914354,capitalism,1,1.225488996454331,1,+1,convergence,4,10197421,linear,% of W_EUR3
CEE,Bulgaria,BGR,CEE: Bulgaria,1950-1965,% of W_EUR3,92.60354279438748,100.9264273061436,socialism,1,8.322884511756115,8,+8,convergence,1,7248464,linear,% of W_EUR3
CEE,Bulgaria,BGR,CEE: Bulgaria,1965-1989,% of W_EUR3,100.9264273061436,93.78700593074073,socialism,1,-7.139421375402861,-7,-7,divergence,2,8202371,linear,% of W_EUR3
CEE,Bulgaria,BGR,CEE: Bulgaria,1989-1995,% of W_EUR3,93.78700593074073,91.68529733600622,transition,1,-2.101708594734518,-2,-2,divergence,3,8936335,linear,% of W_EUR3
CEE,Bulgaria,BGR,CEE: Bulgaria,1995-2023,% of W_EUR3,91.68529733600622,91.51027156910389,capitalism,1,-0.17502576690232274,-0,+0,no change,4,8357522,linear,% of W_EUR3
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1950-1965,% of W_EUR3,88.05946998169443,96.91916706421333,socialism,1,8.859697082518892,9,+9,convergence,1,3864936,linear,% of W_EUR3
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1965-1989,% of W_EUR3,96.91916706421333,95.12098908031362,socialism,1,-1.7981779838997056,-2,-2,divergence,2,4346657,linear,% of W_EUR3
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1989-1995,% of W_EUR3,95.12098908031362,93.75151767223885,transition,1,-1.369471408074773,-1,-1,divergence,3,4820680,linear,% of W_EUR3
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1995-2023,% of W_EUR3,93.75151767223885,95.07213590540063,capitalism,1,1.320618233161781,1,+1,convergence,4,4619314,linear,% of W_EUR3
CEE,Czechia,CZE,CEE: Czechia,1950-1965,% of W_EUR3,97.02769776207495,99.44323713677416,socialism,1,2.4155393746992075,2,+2,convergence,1,8916664,linear,% of W_EUR3
CEE,Czechia,CZE,CEE: Czechia,1965-1989,% of W_EUR3,99.44323713677416,94.14690715817052,socialism,1,-5.296329978603637,-5,-5,divergence,2,9706802,linear,% of W_EUR3
CEE,Czechia,CZE,CEE: Czechia,1989-1995,% of W_EUR3,94.14690715817052,94.54741044807633,transition,1,0.40050328990581363,0,+0,no change,3,10305562,linear,% of W_EUR3
CEE,Czechia,CZE,CEE: Czechia,1995-2023,% of W_EUR3,94.54741044807633,96.58907391655855,capitalism,1,2.041663468482213,2,+2,convergence,4,10311979,linear,% of W_EUR3
Baltics,Estonia,EST,Baltics: Estonia,1950-1965,% of W_EUR3,99.97487464881415,100.0895055128922,socialism,1,0.11463086407805179,0,+0,no change,1,1102004,linear,% of W_EUR3
Baltics,Estonia,EST,Baltics: Estonia,1965-1989,% of W_EUR3,100.0895055128922,92.4984204569574,socialism,1,-7.591085055934798,-8,-8,divergence,2,1292753,linear,% of W_EUR3
