country,iso2c,iso3c,year,gdp_pc_ppp,gdp_pc_const2015,gni_pc_ppp
Hungary,HU,HUN,2018,35798.0412754022,14533.7783144312,34708.120793706
Hungary,HU,HUN,2019,37662.67681014,15290.8085466331,37084.7170964695
Hungary,HU,HUN,2020,36119.5211735652,14664.2971195385,36217.0590847955
Hungary,HU,HUN,2021,38887.1909527154,15787.9535427563,37727.2719258011
Hungary,HU,HUN,2022,40656.9686775714,16506.4721041768,37713.2047870948
Hungary,HU,HUN,2023,40368.5881912861,16389.3914509189,39108.9254267516
Hungary,HU,HUN,2024,40702.1535135968,16524.8168617828,NA
Latvia,LV,LVA,1990,17508.7863191492,7622.69825875963,NA
Latvia,LV,LVA,1991,15376.090576901,6694.19894278367,NA
Latvia,LV,LVA,1992,10582.2070186664,4607.11379673414,NA
Latvia,LV,LVA,1993,10255.1413776101,4464.7211347223,NA
Latvia,LV,LVA,1994,10656.6087654394,4639.50565161418,NA
Latvia,LV,LVA,1995,10707.5149969006,4661.66840092451,10125.5707210792
Latvia,LV,LVA,1996,11077.8618422597,4822.90414861125,10429.4673416851
Latvia,LV,LVA,1997,12215.0151940189,5317.97997604979,11139.4320847447
Latvia,LV,LVA,1998,13138.4012524255,5719.98918281481,12224.5265673552
Latvia,LV,LVA,1999,13619.098799485,5929.26767237825,12668.5984830388
Latvia,LV,LVA,2000,14554.2131724037,6336.38296707987,13359.6168347541
Latvia,LV,LVA,2001,15695.906718153,6833.4354323157,14565.3926725688
Latvia,LV,LVA,2002,17096.5594440255,7443.22944659059,15676.3193088488
Latvia,LV,LVA,2003,18717.6675525538,8149.00183600084,17098.7377069152
Latvia,LV,LVA,2004,20574.118201251,8957.23393555082,18626.774910913
Latvia,LV,LVA,2005,23213.3539355881,10106.2626157732,21137.4078112884
Latvia,LV,LVA,2006,26431.8140222767,11507.4648265658,23685.0001360013
Latvia,LV,LVA,2007,29423.7371235063,12810.0409502542,27191.2778404704
Latvia,LV,LVA,2008,28726.9722869522,12506.6945041012,26917.2481708567
Latvia,LV,LVA,2009,24520.6791475489,10675.425174228,24977.1333946787
Latvia,LV,LVA,2010,24119.7307848939,10500.8666223014,23130.2520475755
Latvia,LV,LVA,2011,25308.7322074626,11018.5152421583,24391.5436185873
Latvia,LV,LVA,2012,27496.5454583635,11971.0107466522,25838.8224932512
Latvia,LV,LVA,2013,28375.1842887263,12353.5386135301,26902.6932540796
Latvia,LV,LVA,2014,29243.7412502629,12731.6771959342,27684.8038620242
Latvia,LV,LVA,2015,30599.6133134147,13321.9753140616,28893.913296455
Latvia,LV,LVA,2016,31668.5148442662,13787.3367440023,30592.9446783045
Latvia,LV,LVA,2017,33036.3915943437,14382.8612727134,31955.7536863103
Latvia,LV,LVA,2018,34729.7062763057,15120.0698171804,33514.8884739769
Latvia,LV,LVA,2019,35208.1934590859,15328.3859933295,34715.3414154656
Latvia,LV,LVA,2020,34225.8976044058,14900.7295718866,34635.7362989489
Latvia,LV,LVA,2021,36912.0130602161,16070.1680032322,36222.6807279013
Latvia,LV,LVA,2022,37681.0452439337,16404.9770631465,36159.0500971051
Latvia,LV,LVA,2023,38796.5510159878,16890.6283099707,37768.6122626232
Latvia,LV,LVA,2024,38936.0453870454,16951.3591613264,NA
Lithuania,LT,LTU,1990,20586.227753241,8333.3507070025,NA
Lithuania,LT,LTU,1991,19384.8179312258,7847.01734327521,NA
Lithuania,LT,LTU,1992,15280.3886006381,6185.53523621407,NA
Lithuania,LT,LTU,1993,12861.6949141098,5206.44266110742,NA
Lithuania,LT,LTU,1994,11686.4386596094,4730.69631958508,NA
Lithuania,LT,LTU,1995,12164.2037159996,4924.09667530707,10780.6115230325
Lithuania,LT,LTU,1996,12873.2007572979,5211.10025197912,11834.7950706853
Lithuania,LT,LTU,1997,14045.0045144544,5685.44901491024,13153.5781703652
Lithuania,LT,LTU,1998,15202.9118027933,6154.17245640636,14147.3263969357
Lithuania,LT,LTU,1999,15143.1937102939,6129.99843995634,14271.4320361923
Lithuania,LT,LTU,2000,15771.4269595328,6384.30865426374,15193.7295232602
Lithuania,LT,LTU,2001,16933.0225490496,6854.5251282667105,16372.3010557268
Lithuania,LT,LTU,2002,18216.5452581272,7374.0979710116,17740.3145095119
Lithuania,LT,LTU,2003,20302.9848798403,8218.69336289848,19500.4886100378
Lithuania,LT,LTU,2004,21867.2861464791,8851.92598922347,21872.8096975424
Lithuania,LT,LTU,2005,23944.7019948719,9692.86853763267,24226.0296058615
Lithuania,LT,LTU,2006,26129.3392566938,10577.2145522871,25901.9207217571
Lithuania,LT,LTU,2007,29370.7739737176,11889.3545234657,28804.6878862771
Lithuania,LT,LTU,2008,30445.7809464936,12324.5197331387,30671.199757352
